Downloading Go dependencies...
go: downloading go1.26.2 (linux/amd64)
Running unit and integration tests...
ok  	github.com/cli/cli/v2/api	1.326s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/list	1.048s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/set	1.072s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/shared	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/api	1.398s
?   	github.com/cli/cli/v2/pkg/cmd/attestation	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/api	4.061s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact	1.095s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/digest	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/oci	1.086s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/auth	1.052s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/download	1.182s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/inspect	6.345s
?   	github.com/cli/cli/v2/pkg/cmd/attestation/io	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test/data	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/trustedroot	1.114s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verification	30.325s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verify	25.970s
?   	github.com/cli/cli/v2/pkg/cmd/auth	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/gitcredential	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/login	1.144s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/logout	1.144s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/refresh	1.139s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/setupgit	1.063s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared	1.077s
?   	github.com/cli/cli/v2/pkg/cmd/auth/shared/contract	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared/gitcredentials	1.198s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/status	1.142s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/switch	1.109s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/token	1.077s
ok  	github.com/cli/cli/v2/pkg/cmd/browse	1.111s
?   	github.com/cli/cli/v2/pkg/cmd/cache	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/cache/delete	1.076s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/list	1.062s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/shared	1.063s
FAIL	github.com/cli/cli/v2/pkg/cmd/codespace [build failed]
ok  	github.com/cli/cli/v2/pkg/cmd/completion	1.055s
?   	github.com/cli/cli/v2/pkg/cmd/config	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/config/clear-cache	1.046s
ok  	github.com/cli/cli/v2/pkg/cmd/config/get	1.063s
ok  	github.com/cli/cli/v2/pkg/cmd/config/list	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/config/set	1.069s
ok  	github.com/cli/cli/v2/pkg/cmd/copilot	1.112s
ok  	github.com/cli/cli/v2/pkg/cmd/extension	7.673s
ok  	github.com/cli/cli/v2/pkg/cmd/extension/browse	1.291s
ok  	github.com/cli/cli/v2/pkg/cmd/factory	1.284s
?   	github.com/cli/cli/v2/pkg/cmd/gist	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gist/clone	1.060s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/create	1.071s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/delete	1.087s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/edit	1.166s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/list	1.116s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/rename	1.044s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/shared	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/view	1.346s
?   	github.com/cli/cli/v2/pkg/cmd/gpg-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/add	1.051s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/delete	1.052s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/list	1.052s
?   	github.com/cli/cli/v2/pkg/cmd/issue	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/issue/argparsetest	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/issue/close	1.341s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/comment	1.306s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/create	1.400s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/delete	1.324s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/develop	1.376s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/edit	1.389s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/list	1.344s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/lock	1.356s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/pin	1.296s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/reopen	1.300s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/shared	1.302s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/status	1.329s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/transfer	1.323s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/unpin	1.327s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/view	1.391s
ok  	github.com/cli/cli/v2/pkg/cmd/label	1.099s
?   	github.com/cli/cli/v2/pkg/cmd/licenses	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/org	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/org/list	1.049s
?   	github.com/cli/cli/v2/pkg/cmd/pr	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checkout	1.378s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checks	1.355s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/close	1.304s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/comment	1.321s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/create	1.587s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/diff	1.344s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/edit	1.418s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/list	1.369s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/merge	1.406s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/ready	1.317s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/reopen	1.307s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/revert	1.285s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/review	1.335s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/shared	1.375s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/status	1.360s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/update-branch	1.328s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/view	1.453s
?   	github.com/cli/cli/v2/pkg/cmd/preview	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/preview/prompter	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/project	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/close	0.144s
ok  	github.com/cli/cli/v2/pkg/cmd/project/copy	1.142s
ok  	github.com/cli/cli/v2/pkg/cmd/project/create	1.082s
ok  	github.com/cli/cli/v2/pkg/cmd/project/delete	1.135s
ok  	github.com/cli/cli/v2/pkg/cmd/project/edit	1.163s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-create	1.197s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-delete	1.066s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-list	1.149s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-add	1.192s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-archive	1.250s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-create	1.181s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-delete	1.140s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-edit	1.181s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-list	1.159s
ok  	github.com/cli/cli/v2/pkg/cmd/project/link	1.157s
ok  	github.com/cli/cli/v2/pkg/cmd/project/list	1.155s
ok  	github.com/cli/cli/v2/pkg/cmd/project/mark-template	1.126s
?   	github.com/cli/cli/v2/pkg/cmd/project/shared/client	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/format	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/queries	1.234s
ok  	github.com/cli/cli/v2/pkg/cmd/project/unlink	1.133s
ok  	github.com/cli/cli/v2/pkg/cmd/project/view	1.397s
?   	github.com/cli/cli/v2/pkg/cmd/release	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/release/create	1.227s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete	1.110s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete-asset	1.117s
ok  	github.com/cli/cli/v2/pkg/cmd/release/download	1.161s
ok  	github.com/cli/cli/v2/pkg/cmd/release/edit	1.132s
ok  	github.com/cli/cli/v2/pkg/cmd/release/list	1.088s
ok  	github.com/cli/cli/v2/pkg/cmd/release/shared	1.096s
ok  	github.com/cli/cli/v2/pkg/cmd/release/upload	1.099s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify	1.120s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify-asset	1.158s
ok  	github.com/cli/cli/v2/pkg/cmd/release/view	1.284s
?   	github.com/cli/cli/v2/pkg/cmd/repo	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/archive	1.044s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/create	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/delete	1.039s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/list	1.038s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/view	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/clone	1.115s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/create	4.189s
?   	github.com/cli/cli/v2/pkg/cmd/repo/credits	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/delete	1.041s
?   	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/add	1.037s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/delete	1.034s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/list	1.033s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/edit	1.060s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/fork	1.088s
?   	github.com/cli/cli/v2/pkg/cmd/repo/garden	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/repo/gitignore	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/list	1.039s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/view	1.044s
?   	github.com/cli/cli/v2/pkg/cmd/repo/license	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/list	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/view	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/list	1.090s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/rename	1.052s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/setdefault	1.071s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/shared	1.029s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/sync	1.072s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/unarchive	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/view	1.290s
ok  	github.com/cli/cli/v2/pkg/cmd/root	2.405s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/check	1.037s
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/list	1.050s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/view	1.052s
?   	github.com/cli/cli/v2/pkg/cmd/run	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/run/cancel	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/run/delete	1.035s
ok  	github.com/cli/cli/v2/pkg/cmd/run/download	1.057s
ok  	github.com/cli/cli/v2/pkg/cmd/run/list	1.152s
ok  	github.com/cli/cli/v2/pkg/cmd/run/rerun	1.070s
ok  	github.com/cli/cli/v2/pkg/cmd/run/shared	1.043s
ok  	github.com/cli/cli/v2/pkg/cmd/run/view	1.609s
ok  	github.com/cli/cli/v2/pkg/cmd/run/watch	1.081s
?   	github.com/cli/cli/v2/pkg/cmd/search	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/search/code	1.037s
ok  	github.com/cli/cli/v2/pkg/cmd/search/commits	1.046s
ok  	github.com/cli/cli/v2/pkg/cmd/search/issues	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/search/prs	1.065s
ok  	github.com/cli/cli/v2/pkg/cmd/search/repos	1.062s
ok  	github.com/cli/cli/v2/pkg/cmd/search/shared	1.038s
?   	github.com/cli/cli/v2/pkg/cmd/secret	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/secret/delete	1.073s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/list	1.139s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/set	1.157s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/shared	1.034s
ok  	github.com/cli/cli/v2/pkg/cmd/send-telemetry	1.068s
ok  	github.com/cli/cli/v2/pkg/cmd/skills	1.269s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/install	1.408s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/preview	1.552s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/publish	1.255s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/search	1.114s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/update	1.118s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/add	1.054s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/delete	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/list	1.058s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/status	1.318s
?   	github.com/cli/cli/v2/pkg/cmd/variable	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/variable/delete	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/get	1.093s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/list	1.096s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/set	1.077s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/shared	1.035s
ok  	github.com/cli/cli/v2/pkg/cmd/version	1.041s
?   	github.com/cli/cli/v2/pkg/cmd/workflow	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/disable	1.046s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/enable	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/list	1.056s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/run	1.084s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/shared	1.079s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/view	1.281s
ok  	github.com/cli/cli/v2/pkg/cmdutil	1.086s
ok  	github.com/cli/cli/v2/pkg/extensions	1.028s
?   	github.com/cli/cli/v2/pkg/findsh	[no test files]
ok  	github.com/cli/cli/v2/pkg/githubtemplate	1.052s
?   	github.com/cli/cli/v2/pkg/httpmock	[no test files]
ok  	github.com/cli/cli/v2/pkg/iostreams	1.043s
ok  	github.com/cli/cli/v2/pkg/jsoncolor	1.036s
?   	github.com/cli/cli/v2/pkg/jsonfieldstest	[no test files]
?   	github.com/cli/cli/v2/pkg/markdown	[no test files]
ok  	github.com/cli/cli/v2/pkg/option	1.034s
ok  	github.com/cli/cli/v2/pkg/search	1.152s
ok  	github.com/cli/cli/v2/pkg/set	1.026s
?   	github.com/cli/cli/v2/pkg/ssh	[no test files]
ok  	github.com/cli/cli/v2/pkg/surveyext	3.095s
?   	github.com/cli/cli/v2/script	[no test files]
?   	github.com/cli/cli/v2/test	[no test files]
?   	github.com/cli/cli/v2/utils	[no test files]
FAIL
