=== Download dependencies ===
=== Run unit and integration tests ===
ok  	github.com/cli/cli/v2/api	1.347s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/capi	1.115s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/create	1.288s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/list	1.283s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/shared	1.409s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/view	1.356s
?   	github.com/cli/cli/v2/pkg/cmd/alias	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/alias/delete	1.061s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/imports	1.077s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/list	1.050s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/set	1.097s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/shared	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/api	1.393s
?   	github.com/cli/cli/v2/pkg/cmd/attestation	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/api	4.012s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact	1.103s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/digest	1.044s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/oci	1.092s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/auth	1.038s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/download	1.160s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/inspect	4.800s
?   	github.com/cli/cli/v2/pkg/cmd/attestation/io	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test/data	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/trustedroot	1.104s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verification	24.079s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verify	27.289s
?   	github.com/cli/cli/v2/pkg/cmd/auth	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/gitcredential	1.050s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/login	1.122s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/logout	1.142s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/refresh	1.129s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/setupgit	1.070s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared	1.077s
?   	github.com/cli/cli/v2/pkg/cmd/auth/shared/contract	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared/gitcredentials	1.178s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/status	1.157s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/switch	1.121s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/token	1.081s
ok  	github.com/cli/cli/v2/pkg/cmd/browse	1.104s
?   	github.com/cli/cli/v2/pkg/cmd/cache	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/cache/delete	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/list	1.068s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/shared	1.054s
ok  	github.com/cli/cli/v2/pkg/cmd/codespace	1.785s
ok  	github.com/cli/cli/v2/pkg/cmd/completion	1.050s
?   	github.com/cli/cli/v2/pkg/cmd/config	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/config/clear-cache	1.051s
ok  	github.com/cli/cli/v2/pkg/cmd/config/get	1.057s
ok  	github.com/cli/cli/v2/pkg/cmd/config/list	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/config/set	1.062s
ok  	github.com/cli/cli/v2/pkg/cmd/copilot	1.113s
ok  	github.com/cli/cli/v2/pkg/cmd/extension	7.609s
ok  	github.com/cli/cli/v2/pkg/cmd/extension/browse	1.289s
ok  	github.com/cli/cli/v2/pkg/cmd/factory	1.276s
?   	github.com/cli/cli/v2/pkg/cmd/gist	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gist/clone	1.075s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/create	1.083s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/delete	1.092s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/edit	1.165s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/list	1.119s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/rename	1.054s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/shared	1.054s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/view	1.303s
?   	github.com/cli/cli/v2/pkg/cmd/gpg-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/add	1.056s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/delete	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/list	1.049s
?   	github.com/cli/cli/v2/pkg/cmd/issue	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/issue/argparsetest	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/issue/close	1.263s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/comment	1.327s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/create	1.409s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/delete	1.270s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/develop	1.362s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/edit	1.337s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/list	1.300s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/lock	1.289s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/pin	1.278s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/reopen	1.301s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/shared	1.289s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/status	1.298s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/transfer	1.292s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/unpin	1.277s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/view	1.388s
ok  	github.com/cli/cli/v2/pkg/cmd/label	1.105s
?   	github.com/cli/cli/v2/pkg/cmd/licenses	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/org	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/org/list	1.050s
?   	github.com/cli/cli/v2/pkg/cmd/pr	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checkout	1.349s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checks	1.366s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/close	1.311s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/comment	1.332s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/create	1.562s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/diff	1.326s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/edit	1.408s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/list	1.305s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/merge	1.383s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/ready	1.280s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/reopen	1.326s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/revert	1.301s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/review	1.286s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/shared	1.329s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/status	1.357s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/update-branch	1.327s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/view	1.421s
?   	github.com/cli/cli/v2/pkg/cmd/preview	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/preview/prompter	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/project	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/close	1.128s
ok  	github.com/cli/cli/v2/pkg/cmd/project/copy	1.139s
ok  	github.com/cli/cli/v2/pkg/cmd/project/create	1.104s
ok  	github.com/cli/cli/v2/pkg/cmd/project/delete	1.135s
ok  	github.com/cli/cli/v2/pkg/cmd/project/edit	1.177s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-create	1.200s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-delete	1.066s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-list	1.152s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-add	1.178s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-archive	1.221s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-create	1.163s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-delete	1.137s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-edit	1.161s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-list	1.178s
ok  	github.com/cli/cli/v2/pkg/cmd/project/link	1.118s
ok  	github.com/cli/cli/v2/pkg/cmd/project/list	1.150s
ok  	github.com/cli/cli/v2/pkg/cmd/project/mark-template	1.147s
?   	github.com/cli/cli/v2/pkg/cmd/project/shared/client	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/format	1.055s
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/queries	1.220s
ok  	github.com/cli/cli/v2/pkg/cmd/project/unlink	1.116s
ok  	github.com/cli/cli/v2/pkg/cmd/project/view	1.389s
?   	github.com/cli/cli/v2/pkg/cmd/release	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/release/create	1.187s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete	1.103s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete-asset	1.119s
ok  	github.com/cli/cli/v2/pkg/cmd/release/download	1.122s
ok  	github.com/cli/cli/v2/pkg/cmd/release/edit	1.120s
ok  	github.com/cli/cli/v2/pkg/cmd/release/list	1.094s
ok  	github.com/cli/cli/v2/pkg/cmd/release/shared	1.111s
ok  	github.com/cli/cli/v2/pkg/cmd/release/upload	1.083s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify	1.123s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify-asset	1.108s
ok  	github.com/cli/cli/v2/pkg/cmd/release/view	1.306s
?   	github.com/cli/cli/v2/pkg/cmd/repo	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/archive	1.043s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/create	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/delete	1.038s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/list	1.046s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/view	1.035s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/clone	1.120s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/create	4.159s
?   	github.com/cli/cli/v2/pkg/cmd/repo/credits	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/delete	1.036s
?   	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/add	1.029s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/delete	1.034s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/list	1.033s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/edit	1.074s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/fork	1.100s
?   	github.com/cli/cli/v2/pkg/cmd/repo/garden	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/repo/gitignore	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/list	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/view	1.042s
?   	github.com/cli/cli/v2/pkg/cmd/repo/license	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/list	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/view	1.051s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/list	1.080s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/rename	1.050s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/setdefault	1.071s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/shared	1.026s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/sync	1.082s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/unarchive	1.043s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/view	1.295s
ok  	github.com/cli/cli/v2/pkg/cmd/root	2.382s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/check	1.039s
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/list	1.048s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/view	1.053s
?   	github.com/cli/cli/v2/pkg/cmd/run	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/run/cancel	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/run/delete	1.048s
ok  	github.com/cli/cli/v2/pkg/cmd/run/download	1.061s
ok  	github.com/cli/cli/v2/pkg/cmd/run/list	1.169s
ok  	github.com/cli/cli/v2/pkg/cmd/run/rerun	1.077s
ok  	github.com/cli/cli/v2/pkg/cmd/run/shared	1.043s
ok  	github.com/cli/cli/v2/pkg/cmd/run/view	1.599s
ok  	github.com/cli/cli/v2/pkg/cmd/run/watch	1.077s
?   	github.com/cli/cli/v2/pkg/cmd/search	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/search/code	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/search/commits	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/search/issues	1.071s
ok  	github.com/cli/cli/v2/pkg/cmd/search/prs	1.051s
ok  	github.com/cli/cli/v2/pkg/cmd/search/repos	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/search/shared	1.050s
?   	github.com/cli/cli/v2/pkg/cmd/secret	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/secret/delete	1.063s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/list	1.122s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/set	1.142s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/shared	1.036s
ok  	github.com/cli/cli/v2/pkg/cmd/send-telemetry	1.068s
ok  	github.com/cli/cli/v2/pkg/cmd/skills	1.264s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/install	1.393s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/preview	1.534s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/publish	1.251s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/search	1.122s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/update	1.118s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/add	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/delete	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/list	1.053s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/status	1.362s
?   	github.com/cli/cli/v2/pkg/cmd/variable	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/variable/delete	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/get	1.080s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/list	1.078s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/set	1.077s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/shared	1.044s
ok  	github.com/cli/cli/v2/pkg/cmd/version	1.038s
?   	github.com/cli/cli/v2/pkg/cmd/workflow	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/disable	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/enable	1.052s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/list	1.070s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/run	1.086s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/shared	1.074s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/view	1.259s
ok  	github.com/cli/cli/v2/pkg/cmdutil	1.080s
ok  	github.com/cli/cli/v2/pkg/extensions	1.025s
?   	github.com/cli/cli/v2/pkg/findsh	[no test files]
ok  	github.com/cli/cli/v2/pkg/githubtemplate	1.049s
?   	github.com/cli/cli/v2/pkg/httpmock	[no test files]
ok  	github.com/cli/cli/v2/pkg/iostreams	1.040s
ok  	github.com/cli/cli/v2/pkg/jsoncolor	1.037s
?   	github.com/cli/cli/v2/pkg/jsonfieldstest	[no test files]
?   	github.com/cli/cli/v2/pkg/markdown	[no test files]
ok  	github.com/cli/cli/v2/pkg/option	1.027s
ok  	github.com/cli/cli/v2/pkg/search	1.148s
ok  	github.com/cli/cli/v2/pkg/set	1.027s
?   	github.com/cli/cli/v2/pkg/ssh	[no test files]
ok  	github.com/cli/cli/v2/pkg/surveyext	3.090s
?   	github.com/cli/cli/v2/script	[no test files]
?   	github.com/cli/cli/v2/test	[no test files]
?   	github.com/cli/cli/v2/utils	[no test files]
FAIL

FINAL_STATUS = SUCCESS
