Running tests...

 RUN  v3.2.4 /app
   ✓ should use the right package manager version for a given project (npm@6.14.2+sha1.f057d35cd4792c4c511bb1fa332edb43143d07b0)  3102ms
   ✓ should use the right package manager version for a given project (npm@6.14.2+sha224.50512c1eb404900ee78586faa6d756b8d867ff46a328e6fb4cdf3a87)  3219ms
   ✓ should update the Known Good Release only when the major matches  2494ms
   ✓ should ignore the packageManager field when found within a node_modules vendor  1043ms
   ✓ should handle invalid devEngines values > warn on array values  570ms
   ✓ should handle invalid devEngines values > warn on string values  616ms
   ✓ should handle invalid devEngines values > warn on number values  633ms
   ✓ should use hash from "packageManager" even when "devEngines" defines a different one  339ms
   ✓ should accept range in devEngines only if a specific version is provided > either in package.json#packageManager field  1470ms
   ✓ when devEngines.packageManager.name does not match packageManager > should ignore if devEngines.packageManager.onFail is set to "ignore"  1009ms
   ✓ when devEngines.packageManager.name does not match packageManager > should warn if devEngines.packageManager.onFail is set to "warn"  1081ms
   ✓ when devEngines.packageManager.name does not match packageManager > should throw if devEngines.packageManager.onFail is set to "error"  358ms
   ✓ when devEngines.packageManager.name does not match packageManager > should throw by default  361ms
   ✓ should reject if range in devEngines does not match version provided > unless onFail is set to "ignore"  1116ms
   ✓ should reject if range in devEngines does not match version provided > unless onFail is set to "warn"  999ms
   ✓ should reject if range in devEngines does not match version provided > in package.json#packageManager field  354ms
   ✓ should use the closest matching packageManager field  2881ms
   ✓ should expose its root to spawned processes  2701ms
   ✓ shouldn't allow using regular Yarn commands on npm-configured projects  351ms
   ✓ should allow using transparent commands on npm-configured projects  917ms
   ✓ should transparently use the preconfigured version when there is no local project  654ms
   ✓ should use the pinned version when local projects don't list any spec (npm)  1531ms
   ✓ should use the pinned version when local projects don't list any spec (pnpm)  1711ms
   ✓ should use the pinned version when local projects don't list any spec (yarn)  732ms
   ✓ when called on a project without any defined packageManager > should not modify package.json by default  747ms
   ✓ when called on a project without any defined packageManager > should modify package.json if enabled by env  698ms
   ✓ when called on a project without any defined packageManager > should modify package.json if enabled by .corepack.env  692ms
   ✓ when called on a project without any defined packageManager > should not modify package.json if .corepack.env is disabled  696ms
   ✓ should allow updating the pinned version using the "corepack install -g" command  897ms
   ✓ should allow to call "corepack install -g" with a tag  1983ms
   ✓ should allow to call "corepack install -g" without any range  1118ms
   ✓ should allow to call "corepack install" without arguments within a configured project  872ms
   ✓ should refuse to run a different package manager within a configured project  2569ms
   ✓ should always use fallback version when project spec env is disabled  2265ms
   ✓ should support disabling the network accesses from the environment  359ms
   ✓ read-only and offline environment > should support running in project scope  1060ms
   ✓ read-only and offline environment > should support running globally  1517ms
   ✓ should support hydrating package managers from cached archives  1542ms
   ✓ should support hydrating package managers if cache folder was removed  1352ms
   ✓ should support hydrating multiple package managers from cached archives  12511ms
   ✓ should support running package managers with bin array  1265ms
   ✓ should handle parallel installs  701ms
   ✓ should not override the package manager exit code  313ms
   ✓ should not preserve the process.exitCode when a package manager throws  356ms
   ✓ should not set the exit code after successfully launching the package manager  360ms
   ✓ should support package managers in ESM format  363ms
   ✓ should show a warning on stderr before downloading when enable > when enabled by the environment  768ms
   ✓ should show a warning on stderr before downloading when enable > should ignore setting in .corepack.env  670ms
   ✓ should be able to show the latest version  1496ms
   ✓ should download yarn classic from custom registry  1505ms
   ✓ should download yarn berry from custom registry  1282ms
   ✓ should download latest pnpm from custom registry  746ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > from env variable  842ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > from .corepack.env file  890ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > from env file defined by COREPACK_ENV_FILE  878ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > from env even if there's a .corepack.env file  886ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > should ignore .corepack.env file if COREPACK_ENV_FILE is set to 0  861ms
   ✓ should pick up COREPACK_INTEGRITY_KEYS from env > from env file defined by COREPACK_ENV_FILE  869ms
   ✓ custom registry with auth COREPACK_NPM_REGISTRY > should download yarn classic  465ms
   ✓ custom registry with auth COREPACK_NPM_REGISTRY > should download yarn berry  487ms
   ✓ custom registry with auth COREPACK_NPM_REGISTRY > should download pnpm  602ms
   ✓ custom registry with auth COREPACK_NPM_REGISTRY > should download custom package manager  474ms
   ✓ custom registry with auth COREPACK_NPM_TOKEN > should download yarn classic  569ms
   ✓ custom registry with auth COREPACK_NPM_TOKEN > should download yarn berry  506ms
   ✓ custom registry with auth COREPACK_NPM_TOKEN > should download pnpm  596ms
   ✓ custom registry with auth COREPACK_NPM_TOKEN > should download custom package manager  389ms
   ✓ custom registry with auth COREPACK_NPM_PASSWORD > should download yarn classic  404ms
   ✓ custom registry with auth COREPACK_NPM_PASSWORD > should download yarn berry  423ms
   ✓ custom registry with auth COREPACK_NPM_PASSWORD > should download pnpm  606ms
   ✓ custom registry with auth COREPACK_NPM_PASSWORD > should download custom package manager  456ms
   ✓ custom registry with auth PROXY > should download yarn classic  608ms
   ✓ custom registry with auth PROXY > should download yarn berry  516ms
   ✓ custom registry with auth PROXY > should download pnpm  679ms
   ✓ custom registry with auth PROXY > should download custom package manager  383ms
   ✓ handle integrity checks > when signature matches > should return no error when calling 'corepack use'  562ms
   ✓ handle integrity checks > when signature matches > should return no error when fetching latest version  511ms
   ✓ handle integrity checks > should return an error when signature does not match with a range  371ms
   ✓ handle integrity checks > should return an error when signature does not match with a tag  336ms
   ✓ handle integrity checks > should return an error when hash does not match without a tag  1568ms
   ✓ handle integrity checks > should return an error when signature does not match without a tag  1711ms
   ✓ handle integrity checks > should return an error when signature does not match when version is provided  867ms
   ✓ handle integrity checks > should return an error when hash does not match  845ms
   ✓ handle integrity checks > should return no error when signature does not match when hash is provided  862ms
   ✓ allow range versions in devEngines.packageManager.version when user specifies exact version > should work with npm  3343ms
   ✓ allow range versions in devEngines.packageManager.version when user specifies exact version > should work with yarn  673ms
   ✓ allow range versions in devEngines.packageManager.version when user specifies exact version > should work with pnpm  5754ms
   ✓ should still validate devEngines.packageManager.version format when no user version specified  373ms

 Test Files  8 passed (8)
      Tests  149 passed (149)
   Start at  23:51:30
   Duration  157.73s (transform 849ms, setup 201ms, collect 2.99s, tests 179.99s, environment 2ms, prepare 1.87s)

FINAL_STATUS = SUCCESS
